Site,Date,Value
Beijing,2008/5/18,64.875
Beijing,2008/5/19,58.875
Beijing,2008/5/2,197.958333333
Beijing,2008/5/20,114.416666667
Beijing,2008/5/21,79.1818181818
Beijing,2008/5/22,107.208333333
Beijing,2008/5/23,211.916666667
Beijing,2008/5/24,118.541666667
Beijing,2008/5/25,121.666666667
Beijing,2008/5/26,167.458333333
Beijing,2008/5/27,127.916666667
Beijing,2008/5/28,108.333333333
Beijing,2008/5/29,60.9583333333
Beijing,2008/5/3,127.875
Beijing,2008/5/30,32.3333333333
Beijing,2008/5/31,104.25
Beijing,2008/5/4,33.9583333333
Beijing,2008/5/5,81.4166666667
Beijing,2008/5/6,139.583333333
Beijing,2008/5/7,77.5
Beijing,2008/5/8,50.2083333333
Beijing,2008/5/9,62.5833333333
Beijing,2008/6/1,18.5416666667
Beijing,2008/6/10,107.5
Beijing,2008/6/11,49.5833333333
Beijing,2008/6/12,83.375
Beijing,2008/6/13,151.75
Beijing,2008/6/14,130.833333333
Beijing,2008/6/15,109.458333333
Beijing,2008/6/16,70.125
Beijing,2008/6/17,46.7083333333
Beijing,2008/6/18,90.4583333333
Beijing,2008/6/19,188.916666667
Beijing,2008/6/2,31.2916666667
Beijing,2008/6/20,169.625
Beijing,2008/6/21,86.5833333333
Beijing,2008/6/22,140.291666667
Beijing,2008/6/23,71.3333333333
Beijing,2008/6/24,96.1666666667
Beijing,2008/6/25,149.833333333
Beijing,2008/6/26,79.0833333333
Beijing,2008/6/27,135.541666667
Beijing,2008/6/28,63.875
Beijing,2008/6/29,126.25
Beijing,2008/6/3,68.25
Beijing,2008/6/30,113.583333333
Beijing,2008/6/4,46.5833333333
Beijing,2008/6/5,110.25
Beijing,2008/6/6,75.3333333333
Beijing,2008/6/7,144.416666667
Beijing,2008/6/8,146.291666667
Beijing,2008/6/9,92.0
Beijing,2008/7/1,65.125
Beijing,2008/7/11,140.666666667
Beijing,2008/7/12,41.0
Beijing,2008/7/13,54.9375
Beijing,2008/7/14,69.1666666667
Beijing,2008/7/15,29.2916666667
Beijing,2008/7/16,94.7222222222
Beijing,2008/7/17,89.9230769231
Beijing,2008/7/18,71.0833333333
Beijing,2008/7/19,57.3125
Beijing,2008/7/2,95.5
Beijing,2008/7/20,44.7333333333
Beijing,2008/7/21,74.0625
Beijing,2008/7/22,77.3076923077
Beijing,2008/7/23,141.764705882
Beijing,2008/7/24,178.526315789
Beijing,2008/7/25,156.166666667
Beijing,2008/7/26,149.5625
Beijing,2008/7/27,198.291666667
Beijing,2008/7/28,121.526315789
Beijing,2008/7/29,66.0416666667
Beijing,2008/7/3,102.166666667
Beijing,2008/7/30,68.375
Beijing,2008/7/31,62.0833333333
Beijing,2008/7/4,134.458333333
Beijing,2008/7/5,30.3333333333
Beijing,2008/7/6,25.375
Beijing,2008/7/7,82.5416666667
Beijing,2008/7/8,117.636363636
Beijing,2008/7/9,61.3
Beijing,2008/8/1,21.3333333333
Beijing,2008/8/10,95.6666666667
Beijing,2008/8/11,28.0416666667
Beijing,2008/8/12,38.25
Beijing,2008/8/13,75.125
Beijing,2008/8/14,42.125
Beijing,2008/8/15,18.0625
Beijing,2008/8/16,13.9285714286
Beijing,2008/8/17,35.625
Beijing,2008/8/18,28.0
Beijing,2008/8/19,37.9565217391
Beijing,2008/8/2,26.25
Beijing,2008/8/20,62.7083333333
Beijing,2008/8/21,48.0416666667
Beijing,2008/8/22,40.6666666667
Beijing,2008/8/23,35.1176470588
Beijing,2008/8/24,49.5714285714
Beijing,2008/8/25,54.375
Beijing,2008/8/26,65.1666666667
Beijing,2008/8/27,76.9583333333
Beijing,2008/8/28,123.791666667
Beijing,2008/8/29,126.666666667
Beijing,2008/8/3,42.2666666667
Beijing,2008/8/30,64.5833333333
Beijing,2008/8/31,11.15
Beijing,2008/8/4,124.791666667
Beijing,2008/8/5,76.0555555556
Beijing,2008/8/6,100.666666667
Beijing,2008/8/7,141.25
Beijing,2008/8/8,142.333333333
Beijing,2008/8/9,95.9583333333
Beijing,2008/9/1,16.6666666667
Beijing,2008/9/10,37.2173913043
Beijing,2008/9/11,37.2083333333
Beijing,2008/9/12,41.0416666667
Beijing,2008/9/13,39.5
Beijing,2008/9/14,64.2083333333
Beijing,2008/9/15,46.7083333333
Beijing,2008/9/16,84.2173913043
Beijing,2008/9/17,75.625
Beijing,2008/9/18,69.6666666667
Beijing,2008/9/19,72.4583333333
Beijing,2008/9/2,32.0555555556
Beijing,2008/9/20,73.8333333333
Beijing,2008/9/21,133.75
Beijing,2008/9/22,28.3333333333
Beijing,2008/9/23,10.9166666667
Beijing,2008/9/24,21.875
Beijing,2008/9/25,20.2083333333
Beijing,2008/9/26,12.875
Beijing,2008/9/27,43.2916666667
Beijing,2008/9/28,92.3684210526
Beijing,2008/9/29,137.571428571
Beijing,2008/9/3,77.5
Beijing,2008/9/30,140.933333333
Beijing,2008/9/4,51.4583333333
Beijing,2008/9/5,44.625
Beijing,2008/9/6,107.416666667
Beijing,2008/9/7,73.75
Beijing,2008/9/8,70.2083333333
Beijing,2008/9/9,69.2916666667
Beijing,2009/10/1,52.8333333333
Beijing,2009/10/10,90.125
Beijing,2009/10/11,152.0
Beijing,2009/10/12,124.625
Beijing,2009/10/13,18.3333333333
Beijing,2009/10/14,38.0416666667
Beijing,2009/10/15,104.041666667
Beijing,2009/10/16,100.416666667
Beijing,2009/10/17,57.4583333333
Beijing,2009/10/18,117.0
Beijing,2009/10/19,30.4583333333
Beijing,2009/10/2,15.7916666667
Beijing,2009/10/20,91.375
Beijing,2009/10/21,85.8333333333
Beijing,2009/10/22,91.0
Beijing,2009/10/23,217.375
Beijing,2009/10/24,205.375
Beijing,2009/10/25,219.777777778
Beijing,2009/10/26,48.6111111111
Beijing,2009/10/27,93.8333333333
Beijing,2009/10/28,185.75
Beijing,2009/10/29,270.1875
Beijing,2009/10/3,19.0833333333
Beijing,2009/10/30,78.2916666667
Beijing,2009/10/31,45.6086956522
Beijing,2009/10/4,28.875
Beijing,2009/10/5,104.541666667
Beijing,2009/10/6,65.2083333333
Beijing,2009/10/7,62.4166666667
Beijing,2009/10/8,85.0416666667
Beijing,2009/10/9,104.333333333
Beijing,2009/11/1,24.375
Beijing,2009/11/10,36.6666666667
Beijing,2009/11/11,38.625
Beijing,2009/11/12,62.4583333333
Beijing,2009/11/13,97.8333333333
Beijing,2009/11/14,16.2083333333
Beijing,2009/11/15,14.85
Beijing,2009/11/18,20.5555555556
Beijing,2009/11/19,45.9166666667
Beijing,2009/11/2,21.125
Beijing,2009/11/20,44.8333333333
Beijing,2009/11/21,119.875
Beijing,2009/11/22,225.75
Beijing,2009/11/23,322.833333333
Beijing,2009/11/24,222.208333333
Beijing,2009/11/25,141.791666667
Beijing,2009/11/26,194.875
Beijing,2009/11/27,172.083333333
Beijing,2009/11/28,203.875
Beijing,2009/11/29,274.208333333
Beijing,2009/11/3,124.833333333
Beijing,2009/11/30,121.5
Beijing,2009/11/4,219.227272727
Beijing,2009/11/5,268.166666667
Beijing,2009/11/6,423.666666667
Beijing,2009/11/7,482.25
Beijing,2009/11/8,254.791666667
Beijing,2009/11/9,41.7826086957
Beijing,2009/12/1,114.416666667
Beijing,2009/12/10,282.208333333
Beijing,2009/12/11,84.5
Beijing,2009/12/12,55.8333333333
Beijing,2009/12/13,119.916666667
Beijing,2009/12/14,55.7916666667
Beijing,2009/12/15,34.5416666667
Beijing,2009/12/16,30.5833333333
Beijing,2009/12/17,17.7916666667
Beijing,2009/12/18,15.5
Beijing,2009/12/19,15.6666666667
Beijing,2009/12/2,122.75
Beijing,2009/12/20,15.1666666667
Beijing,2009/12/21,117.0
Beijing,2009/12/22,112.458333333
Beijing,2009/12/23,150.5
Beijing,2009/12/24,156.933333333
Beijing,2009/12/28,219.923076923
Beijing,2009/12/29,108.416666667
Beijing,2009/12/3,85.125
Beijing,2009/12/30,22.2916666667
Beijing,2009/12/31,57.8695652174
Beijing,2009/12/4,90.2083333333
Beijing,2009/12/5,73.875
Beijing,2009/12/6,172.0
Beijing,2009/12/7,291.583333333
Beijing,2009/12/8,208.25
Beijing,2009/12/9,222.583333333
Beijing,2009/2/17,61.5714285714
Beijing,2009/2/18,90.5
Beijing,2009/2/19,88.0
Beijing,2009/2/20,29.7916666667
Beijing,2009/2/21,110.833333333
Beijing,2009/2/22,20.4166666667
Beijing,2009/2/23,79.6666666667
Beijing,2009/2/24,65.5833333333
Beijing,2009/2/25,26.5416666667
Beijing,2009/2/26,80.380952381
Beijing,2009/3/10,72.9166666667
Beijing,2009/3/11,86.25
Beijing,2009/3/12,73.0
Beijing,2009/3/13,26.5
Beijing,2009/3/14,56.0833333333
Beijing,2009/3/15,82.2916666667
Beijing,2009/3/16,82.625
Beijing,2009/3/17,210.5
Beijing,2009/3/18,240.833333333
Beijing,2009/3/19,82.3333333333
Beijing,2009/3/20,56.0416666667
Beijing,2009/3/21,99.6666666667
Beijing,2009/3/22,16.5416666667
Beijing,2009/3/23,60.2916666667
Beijing,2009/3/24,23.5416666667
Beijing,2009/3/25,15.6666666667
Beijing,2009/3/26,27.75
Beijing,2009/3/27,55.0833333333
Beijing,2009/3/28,53.0416666667
Beijing,2009/3/29,71.2083333333
Beijing,2009/3/3,212.444444444
Beijing,2009/3/30,64.2916666667
Beijing,2009/3/31,20.0869565217
Beijing,2009/3/4,266.75
Beijing,2009/3/5,75.1666666667
Beijing,2009/3/6,21.8333333333
Beijing,2009/3/7,122.125
Beijing,2009/3/8,118.708333333
Beijing,2009/3/9,22.2916666667
Beijing,2009/4/1,17.875
Beijing,2009/4/10,112.416666667
Beijing,2009/4/11,142.125
Beijing,2009/4/12,230.75
Beijing,2009/4/13,147.708333333
Beijing,2009/4/14,63.375
Beijing,2009/4/15,27.0
Beijing,2009/4/16,65.2916666667
Beijing,2009/4/17,117.083333333
Beijing,2009/4/18,109.041666667
Beijing,2009/4/19,86.625
Beijing,2009/4/2,87.0
Beijing,2009/4/20,43.2916666667
Beijing,2009/4/21,13.9411764706
Beijing,2009/4/22,63.4285714286
Beijing,2009/4/23,88.25
Beijing,2009/4/24,77.625
Beijing,2009/4/25,18.5833333333
Beijing,2009/4/26,20.7692307692
Beijing,2009/4/27,56.0
Beijing,2009/4/28,73.3913043478
Beijing,2009/4/29,102.125
Beijing,2009/4/3,79.3333333333
Beijing,2009/4/30,135.583333333
Beijing,2009/4/4,107.333333333
Beijing,2009/4/5,42.875
Beijing,2009/4/6,34.7647058824
Beijing,2009/4/7,129.666666667
Beijing,2009/4/8,175.0
Beijing,2009/4/9,104.708333333
Beijing,2009/5/1,69.7916666667
Beijing,2009/5/10,47.6666666667
Beijing,2009/5/11,103.833333333
Beijing,2009/5/12,47.0
Beijing,2009/5/13,71.5
Beijing,2009/5/18,79.6666666667
Beijing,2009/5/19,100.583333333
Beijing,2009/5/2,59.0526315789
Beijing,2009/5/20,111.041666667
Beijing,2009/5/21,49.4583333333
Beijing,2009/5/22,23.8333333333
Beijing,2009/5/23,66.25
Beijing,2009/5/24,176.875
Beijing,2009/5/25,144.625
Beijing,2009/5/26,92.625
Beijing,2009/5/27,144.208333333
Beijing,2009/5/28,57.25
Beijing,2009/5/29,55.75
Beijing,2009/5/3,82.25
Beijing,2009/5/30,43.75
Beijing,2009/5/31,45.125
Beijing,2009/5/7,183.625
Beijing,2009/5/8,125.208333333
Beijing,2009/5/9,90.0
Beijing,2009/6/1,68.5833333333
Beijing,2009/6/10,18.8333333333
Beijing,2009/6/11,78.5416666667
Beijing,2009/6/12,33.875
Beijing,2009/6/13,80.0
Beijing,2009/6/14,59.7083333333
Beijing,2009/6/15,114.0
Beijing,2009/6/16,102.625
Beijing,2009/6/17,135.375
Beijing,2009/6/18,321.125
Beijing,2009/6/19,266.833333333
Beijing,2009/6/2,27.0833333333
Beijing,2009/6/20,149.416666667
Beijing,2009/6/21,79.3333333333
Beijing,2009/6/22,25.6153846154
Beijing,2009/6/23,70.0
Beijing,2009/6/24,124.058823529
Beijing,2009/6/25,116.0
Beijing,2009/6/26,190.0
Beijing,2009/6/27,138.583333333
Beijing,2009/6/28,117.291666667
Beijing,2009/6/29,72.9583333333
Beijing,2009/6/3,42.2083333333
Beijing,2009/6/30,20.8333333333
Beijing,2009/6/4,81.9545454545
Beijing,2009/6/6,88.0
Beijing,2009/6/7,103.541666667
Beijing,2009/6/8,78.4166666667
Beijing,2009/6/9,37.0416666667
Beijing,2009/7/1,28.7916666667
Beijing,2009/7/10,142.608695652
Beijing,2009/7/11,148.565217391
Beijing,2009/7/12,111.130434783
Beijing,2009/7/13,128.75
Beijing,2009/7/14,94.55
Beijing,2009/7/15,151.458333333
Beijing,2009/7/16,124.333333333
Beijing,2009/7/17,57.125
Beijing,2009/7/18,47.2083333333
Beijing,2009/7/19,108.583333333
Beijing,2009/7/2,52.25
Beijing,2009/7/20,69.9583333333
Beijing,2009/7/21,105.0
Beijing,2009/7/22,179.583333333
Beijing,2009/7/23,53.625
Beijing,2009/7/24,48.3157894737
Beijing,2009/7/25,33.375
Beijing,2009/7/26,84.75
Beijing,2009/7/27,103.541666667
Beijing,2009/7/28,141.826086957
Beijing,2009/7/29,239.863636364
Beijing,2009/7/3,99.9166666667
Beijing,2009/7/30,188.166666667
Beijing,2009/7/31,94.7083333333
Beijing,2009/7/4,157.375
Beijing,2009/7/5,134.529411765
Beijing,2009/7/6,83.0
Beijing,2009/7/7,127.826086957
Beijing,2009/7/8,67.5416666667
Beijing,2009/7/9,62.5416666667
Beijing,2009/8/1,154.041666667
Beijing,2009/8/10,83.2916666667
Beijing,2009/8/11,94.5416666667
Beijing,2009/8/12,101.666666667
Beijing,2009/8/13,140.958333333
Beijing,2009/8/14,208.5
Beijing,2009/8/15,145.916666667
Beijing,2009/8/16,159.0
Beijing,2009/8/17,98.0416666667
Beijing,2009/8/18,141.625
Beijing,2009/8/19,70.5416666667
Beijing,2009/8/2,83.6666666667
Beijing,2009/8/20,49.6956521739
Beijing,2009/8/21,58.9583333333
Beijing,2009/8/22,35.75
Beijing,2009/8/23,113.913043478
Beijing,2009/8/24,152.208333333
Beijing,2009/8/25,160.4375
Beijing,2009/8/26,138.5
Beijing,2009/8/27,75.6666666667
Beijing,2009/8/28,27.5833333333
Beijing,2009/8/29,64.5
Beijing,2009/8/3,143.416666667
Beijing,2009/8/30,100.958333333
Beijing,2009/8/31,102.833333333
Beijing,2009/8/4,154.708333333
Beijing,2009/8/5,84.375
Beijing,2009/8/6,89.9565217391
Beijing,2009/8/7,112.0
Beijing,2009/8/8,103.5
Beijing,2009/8/9,89.75
Beijing,2009/9/1,105.0
Beijing,2009/9/10,89.5652173913
Beijing,2009/9/11,40.3333333333
Beijing,2009/9/12,14.625
Beijing,2009/9/13,66.1304347826
Beijing,2009/9/14,125.125
Beijing,2009/9/15,54.0416666667
Beijing,2009/9/16,169.708333333
Beijing,2009/9/17,130.5
Beijing,2009/9/18,119.583333333
Beijing,2009/9/19,107.291666667
Beijing,2009/9/2,184.041666667
Beijing,2009/9/20,95.6666666667
Beijing,2009/9/21,45.7083333333
Beijing,2009/9/22,86.8333333333
Beijing,2009/9/23,115.541666667
Beijing,2009/9/24,155.666666667
Beijing,2009/9/25,239.958333333
Beijing,2009/9/26,80.3333333333
Beijing,2009/9/27,106.75
Beijing,2009/9/28,92.0
Beijing,2009/9/29,179.625
Beijing,2009/9/3,173.826086957
Beijing,2009/9/30,197.041666667
Beijing,2009/9/4,170.25
Beijing,2009/9/5,121.333333333
Beijing,2009/9/6,21.0
Beijing,2009/9/7,27.4347826087
Beijing,2009/9/8,63.4782608696
Beijing,2009/9/9,72.5
Beijing,2010/1/1,129.0
Beijing,2010/1/10,55.0833333333
Beijing,2010/1/11,19.9166666667
Beijing,2010/1/12,20.5
Beijing,2010/1/13,42.7083333333
Beijing,2010/1/14,92.0833333333
Beijing,2010/1/15,49.8333333333
Beijing,2010/1/16,182.708333333
Beijing,2010/1/17,210.0
Beijing,2010/1/18,263.375
Beijing,2010/1/19,341.0
Beijing,2010/1/2,144.333333333
Beijing,2010/1/20,70.9166666667
Beijing,2010/1/21,27.75
Beijing,2010/1/22,30.0
Beijing,2010/1/23,21.5625
Beijing,2010/1/26,203.538461538
Beijing,2010/1/27,110.708333333
Beijing,2010/1/28,21.125
Beijing,2010/1/29,25.625
Beijing,2010/1/3,78.375
Beijing,2010/1/30,45.2916666667
Beijing,2010/1/31,38.4166666667
Beijing,2010/1/4,29.2916666667
Beijing,2010/1/5,43.5416666667
Beijing,2010/1/6,59.375
Beijing,2010/1/7,72.4583333333
Beijing,2010/1/8,174.333333333
Beijing,2010/1/9,84.75
Beijing,2010/10/1,220.875
Beijing,2010/10/10,371.208333333
Beijing,2010/10/11,10.5833333333
Beijing,2010/10/12,58.4545454545
Beijing,2010/10/13,110.958333333
Beijing,2010/10/14,15.125
Beijing,2010/10/15,43.1666666667
Beijing,2010/10/16,72.5833333333
Beijing,2010/10/17,48.125
Beijing,2010/10/18,66.125
Beijing,2010/10/19,73.375
Beijing,2010/10/2,28.5416666667
Beijing,2010/10/20,82.4166666667
Beijing,2010/10/21,128.375
Beijing,2010/10/22,168.666666667
Beijing,2010/10/23,220.125
Beijing,2010/10/24,91.0416666667
Beijing,2010/10/25,10.9583333333
Beijing,2010/10/26,14.4166666667
Beijing,2010/10/27,92.5
Beijing,2010/10/28,71.9166666667
Beijing,2010/10/29,52.3333333333
Beijing,2010/10/3,9.875
Beijing,2010/10/30,52.75
Beijing,2010/10/31,72.0
Beijing,2010/10/4,27.7083333333
Beijing,2010/10/5,82.125
Beijing,2010/10/6,281.291666667
Beijing,2010/10/7,373.916666667
Beijing,2010/10/8,362.5
Beijing,2010/10/9,363.25
Beijing,2010/11/1,65.5
Beijing,2010/11/10,133.333333333
Beijing,2010/11/11,67.2083333333
Beijing,2010/11/12,67.4583333333
Beijing,2010/11/13,16.0
Beijing,2010/11/14,21.7083333333
Beijing,2010/11/15,59.4166666667
Beijing,2010/11/16,143.041666667
Beijing,2010/11/17,330.875
Beijing,2010/11/18,385.083333333
Beijing,2010/11/19,366.958333333
Beijing,2010/11/20,295.708333333
Beijing,2010/11/21,119.458333333
Beijing,2010/11/22,79.2727272727
Beijing,2010/11/23,232.041666667
Beijing,2010/11/24,61.75
Beijing,2010/11/25,71.875
Beijing,2010/11/26,112.541666667
Beijing,2010/11/27,27.8333333333
Beijing,2010/11/28,187.916666667
Beijing,2010/11/29,181.791666667
Beijing,2010/11/3,111.1
Beijing,2010/11/30,225.166666667
Beijing,2010/11/4,66.5
Beijing,2010/11/5,105.416666667
Beijing,2010/11/6,280.583333333
Beijing,2010/11/7,50.7083333333
Beijing,2010/11/8,13.0
Beijing,2010/11/9,64.4583333333
Beijing,2010/12/1,258.083333333
Beijing,2010/12/10,95.5
Beijing,2010/12/11,49.5833333333
Beijing,2010/12/12,116.75
Beijing,2010/12/13,15.6666666667
Beijing,2010/12/14,17.125
Beijing,2010/12/15,22.7916666667
Beijing,2010/12/16,55.6666666667
Beijing,2010/12/17,121.625
Beijing,2010/12/18,278.166666667
Beijing,2010/12/19,137.833333333
Beijing,2010/12/2,72.875
Beijing,2010/12/20,210.666666667
Beijing,2010/12/21,441.5
Beijing,2010/12/22,121.791666667
Beijing,2010/12/23,24.0833333333
Beijing,2010/12/24,47.75
Beijing,2010/12/25,56.75
Beijing,2010/12/26,47.2083333333
Beijing,2010/12/27,77.0
Beijing,2010/12/28,30.5416666667
Beijing,2010/12/29,34.2916666667
Beijing,2010/12/3,82.1666666667
Beijing,2010/12/30,17.7083333333
Beijing,2010/12/31,18.6086956522
Beijing,2010/12/4,172.708333333
Beijing,2010/12/5,65.5
Beijing,2010/12/6,19.9583333333
Beijing,2010/12/7,58.3333333333
Beijing,2010/12/8,40.375
Beijing,2010/12/9,198.708333333
Beijing,2010/2/1,64.6666666667
Beijing,2010/2/10,12.2083333333
Beijing,2010/2/11,14.5833333333
Beijing,2010/2/12,26.875
Beijing,2010/2/13,88.2083333333
Beijing,2010/2/14,90.0869565217
Beijing,2010/2/15,34.2083333333
Beijing,2010/2/16,96.125
Beijing,2010/2/17,60.75
Beijing,2010/2/18,84.2083333333
Beijing,2010/2/19,114.875
Beijing,2010/2/2,65.9166666667
Beijing,2010/2/20,180.833333333
Beijing,2010/2/21,121.291666667
Beijing,2010/2/22,91.8333333333
Beijing,2010/2/23,174.541666667
Beijing,2010/2/24,272.75
Beijing,2010/2/25,164.958333333
Beijing,2010/2/26,69.2916666667
Beijing,2010/2/27,80.0833333333
Beijing,2010/2/28,81.2083333333
Beijing,2010/2/3,78.9583333333
Beijing,2010/2/4,56.2083333333
Beijing,2010/2/5,78.5833333333
Beijing,2010/2/6,76.6666666667
Beijing,2010/2/7,113.916666667
Beijing,2010/2/8,180.958333333
Beijing,2010/2/9,147.625
Beijing,2010/3/1,59.25
Beijing,2010/3/10,61.875
Beijing,2010/3/11,176.291666667
Beijing,2010/3/12,43.625
Beijing,2010/3/13,60.375
Beijing,2010/3/14,86.625
Beijing,2010/3/15,62.75
Beijing,2010/3/16,64.875
Beijing,2010/3/17,40.5833333333
Beijing,2010/3/18,164.75
Beijing,2010/3/19,226.0
Beijing,2010/3/2,90.4166666667
Beijing,2010/3/20,161.954545455
Beijing,2010/3/21,70.5416666667
Beijing,2010/3/22,160.47826087
Beijing,2010/3/23,53.875
Beijing,2010/3/24,61.9166666667
Beijing,2010/3/25,31.0416666667
Beijing,2010/3/26,69.5
Beijing,2010/3/27,69.625
Beijing,2010/3/28,73.9166666667
Beijing,2010/3/29,221.875
Beijing,2010/3/3,157.416666667
Beijing,2010/3/30,251.666666667
Beijing,2010/3/31,113.1
Beijing,2010/3/4,192.333333333
Beijing,2010/3/5,21.7916666667
Beijing,2010/3/6,51.8333333333
Beijing,2010/3/7,87.8333333333
Beijing,2010/3/8,45.375
Beijing,2010/3/9,19.7083333333
Beijing,2010/4/1,27.8636363636
Beijing,2010/4/10,34.0416666667
Beijing,2010/4/11,70.75
Beijing,2010/4/12,44.5
Beijing,2010/4/13,23.9583333333
Beijing,2010/4/14,55.9166666667
Beijing,2010/4/15,177.583333333
Beijing,2010/4/16,205.0
Beijing,2010/4/17,152.375
Beijing,2010/4/18,240.25
Beijing,2010/4/19,199.5
Beijing,2010/4/2,31.625
Beijing,2010/4/20,80.25
Beijing,2010/4/21,39.0
Beijing,2010/4/22,39.5416666667
Beijing,2010/4/23,33.5
Beijing,2010/4/24,88.75
Beijing,2010/4/25,83.8333333333
Beijing,2010/4/26,13.5
Beijing,2010/4/27,25.125
Beijing,2010/4/28,16.125
Beijing,2010/4/29,19.0416666667
Beijing,2010/4/3,106.875
Beijing,2010/4/30,29.0416666667
Beijing,2010/4/4,124.125
Beijing,2010/4/5,128.041666667
Beijing,2010/4/6,21.2916666667
Beijing,2010/4/7,94.75
Beijing,2010/4/8,108.208333333
Beijing,2010/4/9,83.4583333333
Beijing,2010/5/1,69.9166666667
Beijing,2010/5/10,42.375
Beijing,2010/5/11,17.6666666667
Beijing,2010/5/12,43.7916666667
Beijing,2010/5/13,67.6666666667
Beijing,2010/5/14,142.75
Beijing,2010/5/15,177.083333333
Beijing,2010/5/16,107.625
Beijing,2010/5/17,69.1363636364
Beijing,2010/5/18,50.0833333333
Beijing,2010/5/19,34.4166666667
Beijing,2010/5/2,76.4166666667
Beijing,2010/5/20,65.4166666667
Beijing,2010/5/21,113.875
Beijing,2010/5/22,148.0
Beijing,2010/5/23,123.208333333
Beijing,2010/5/24,42.4583333333
Beijing,2010/5/25,34.3333333333
Beijing,2010/5/26,83.7083333333
Beijing,2010/5/27,84.7894736842
Beijing,2010/5/28,134.416666667
Beijing,2010/5/29,137.583333333
Beijing,2010/5/3,113.291666667
Beijing,2010/5/30,41.2916666667
Beijing,2010/5/31,89.0833333333
Beijing,2010/5/4,139.25
Beijing,2010/5/5,119.25
Beijing,2010/5/6,20.2916666667
Beijing,2010/5/7,96.5
Beijing,2010/5/8,132.0
Beijing,2010/5/9,79.5833333333
Beijing,2010/6/1,106.45
Beijing,2010/6/10,51.7916666667
Beijing,2010/6/11,87.375
Beijing,2010/6/12,106.5
Beijing,2010/6/13,117.791666667
Beijing,2010/6/14,87.5833333333
Beijing,2010/6/15,144.458333333
Beijing,2010/6/16,90.9166666667
Beijing,2010/6/17,37.0
Beijing,2010/6/18,68.2916666667
Beijing,2010/6/19,100.125
Beijing,2010/6/2,129.625
Beijing,2010/6/20,74.5909090909
Beijing,2010/6/21,76.8333333333
Beijing,2010/6/22,128.777777778
Beijing,2010/6/23,58.0666666667
Beijing,2010/6/24,79.3333333333
Beijing,2010/6/25,166.583333333
Beijing,2010/6/26,169.333333333
Beijing,2010/6/27,118.75
Beijing,2010/6/28,156.958333333
Beijing,2010/6/29,188.208333333
Beijing,2010/6/3,110.833333333
Beijing,2010/6/30,178.375
Beijing,2010/6/4,80.0909090909
Beijing,2010/6/7,131.307692308
Beijing,2010/6/8,171.666666667
Beijing,2010/6/9,47.25
Beijing,2010/7/1,119.375
Beijing,2010/7/10,82.7916666667
Beijing,2010/7/11,167.541666667
Beijing,2010/7/12,122.0
Beijing,2010/7/13,103.458333333
Beijing,2010/7/14,131.208333333
Beijing,2010/7/15,197.791666667
Beijing,2010/7/16,195.958333333
Beijing,2010/7/17,120.708333333
