Entity,Year,Country code,CO2 annual emissions by nation-CDIAC
China,1927,CHN,33.5805
China,1928,CHN,34.17137
China,1929,CHN,35.87792
China,1930,CHN,37.9845
China,1931,CHN,40.32596
China,1932,CHN,38.66345
China,1933,CHN,42.28574
China,1934,CHN,49.35416
China,1935,CHN,57.72176
China,1936,CHN,65.14617
China,1937,CHN,60.67611
China,1938,CHN,55.39498
China,1939,CHN,67.26743
China,1940,CHN,86.24133
China,1941,CHN,107.79157
China,1942,CHN,114.05626
China,1943,CHN,97.46419
China,1944,CHN,98.0257
China,1945,CHN,50.43314
China,1946,CHN,31.32712
China,1947,CHN,33.64289
China,1948,CHN,23.8917
China,1949,CHN,59.40629
China,1950,CHN,78.77655
China,1951,CHN,101.89021
China,1952,CHN,128.43165
China,1953,CHN,134.322
China,1954,CHN,161.52037
China,1955,CHN,191.20333
China,1956,CHN,216.70249
China,1957,CHN,256.76788
China,1958,CHN,526.2413
China,1959,CHN,722.34041
China,1960,CHN,781.36502
China,1961,CHN,552.5185
China,1962,CHN,440.71929
China,1963,CHN,437.05296
China,1964,CHN,437.2805
China,1965,CHN,476.36233
China,1966,CHN,523.21722
China,1967,CHN,433.58848
China,1968,CHN,469.31226
China,1969,CHN,577.70938
China,1970,CHN,772.24874
China,1971,CHN,877.3502
China,1972,CHN,932.33781
China,1973,CHN,969.33508
China,1974,CHN,988.82278
China,1975,CHN,1146.5447
China,1976,CHN,1197.17235
China,1977,CHN,1311.38275
China,1978,CHN,1463.36479
China,1979,CHN,1496.08284
China,1980,CHN,1468.39269
China,1981,CHN,1452.68876
China,1982,CHN,1581.55347
China,1983,CHN,1668.39301
China,1984,CHN,1816.3931
China,1985,CHN,1968.16228
China,1986,CHN,2070.66171
China,1987,CHN,2211.51631
China,1988,CHN,2371.44023
China,1989,CHN,2410.51105
China,1990,CHN,2444.42919
China,1991,CHN,2567.69348
China,1992,CHN,2692.65698
China,1993,CHN,2881.04909
China,1994,CHN,3060.7433
China,1995,CHN,3323.0015
China,1996,CHN,3465.92231
China,1997,CHN,3472.34848
China,1998,CHN,3327.06419
China,1999,CHN,3320.77014
China,2000,CHN,3407.96567
China,2001,CHN,3490.41956
China,2002,CHN,3853.41926
China,2003,CHN,4544.13161
China,2004,CHN,5237.82033
China,2005,CHN,5901.78205
China,2006,CHN,6534.63318
China,2007,CHN,7036.54972
China,2008,CHN,7559.24947
China,2009,CHN,8007.55465
China,2010,CHN,8783.22016
China,2011,CHN,9741.5012
China,2012,CHN,10036.77839
China,2013,CHN,10266.39928
China,2014,CHN,10300.34678
United States,1751,USA,0
United States,1752,USA,0
United States,1753,USA,0
United States,1754,USA,0
United States,1755,USA,0
United States,1756,USA,0
United States,1757,USA,0
United States,1758,USA,0
United States,1759,USA,0
United States,1760,USA,0
United States,1761,USA,0
United States,1762,USA,0
United States,1763,USA,0
United States,1764,USA,0
United States,1765,USA,0
United States,1766,USA,0
United States,1767,USA,0
United States,1768,USA,0
United States,1769,USA,0
United States,1770,USA,0
United States,1771,USA,0
United States,1772,USA,0
United States,1773,USA,0
United States,1774,USA,0
United States,1775,USA,0
United States,1776,USA,0
United States,1777,USA,0
United States,1778,USA,0
United States,1779,USA,0
United States,1780,USA,0
United States,1781,USA,0
United States,1782,USA,0
United States,1783,USA,0
United States,1784,USA,0
United States,1785,USA,0
United States,1786,USA,0
United States,1787,USA,0
United States,1788,USA,0
United States,1789,USA,0
United States,1790,USA,0
United States,1791,USA,0
United States,1792,USA,0
United States,1793,USA,0
United States,1794,USA,0
United States,1795,USA,0
United States,1796,USA,0
United States,1797,USA,0
United States,1798,USA,0
United States,1799,USA,0
United States,1800,USA,0.25323
United States,1801,USA,0.26791
United States,1802,USA,0.28993
United States,1803,USA,0.29727
United States,1804,USA,0.33397
United States,1805,USA,0.34131
United States,1806,USA,0.33397
United States,1807,USA,0.37801
United States,1808,USA,0.39269
United States,1809,USA,0.4037
United States,1810,USA,0.41838
United States,1811,USA,0.44774
United States,1812,USA,0.48444
United States,1813,USA,0.52114
United States,1814,USA,0.56151
United States,1815,USA,0.60188
United States,1816,USA,0.66427
United States,1817,USA,0.71932
United States,1818,USA,0.78171
United States,1819,USA,0.76336
United States,1820,USA,0.79272
United States,1821,USA,0.82942
United States,1822,USA,0.86612
United States,1823,USA,0.90282
United States,1824,USA,1.01659
United States,1825,USA,1.1377
United States,1826,USA,1.31753
United States,1827,USA,1.44965
United States,1828,USA,1.59645
United States,1829,USA,1.7983
United States,1830,USA,2.0919
United States,1831,USA,2.26806
United States,1832,USA,3.02775
United States,1833,USA,3.53421
United States,1834,USA,3.38741
United States,1835,USA,4.32326
United States,1836,USA,4.73797
United States,1837,USA,5.31416
United States,1838,USA,5.03891
United States,1839,USA,5.52702
United States,1840,USA,5.88301
United States,1841,USA,6.22432
United States,1842,USA,6.92896
United States,1843,USA,7.77673
United States,1844,USA,9.3218
United States,1845,USA,11.22286
United States,1846,USA,12.73123
United States,1847,USA,15.09471
United States,1848,USA,16.81227
United States,1849,USA,18.25091
United States,1850,USA,19.82534
United States,1851,USA,24.67341
United States,1852,USA,26.83504
United States,1853,USA,30.21144
United States,1854,USA,33.2135
United States,1855,USA,38.22305
United States,1856,USA,40.10209
United States,1857,USA,41.12235
United States,1858,USA,41.71689
United States,1859,USA,45.39423
United States,1860,USA,47.51549
United States,1861,USA,45.75389
United States,1862,USA,47.5265
United States,1863,USA,54.89953
United States,1864,USA,58.75303
United States,1865,USA,58.91818
United States,1866,USA,59.32922
United States,1867,USA,72.98529
United States,1868,USA,82.48692
United States,1869,USA,93.84924
United States,1870,USA,98.78172
United States,1871,USA,103.18939
United States,1872,USA,126.51224
United States,1873,USA,139.73525
United States,1874,USA,134.51651
United States,1875,USA,135.96983
United States,1876,USA,133.0375
United States,1877,USA,147.41656
United States,1878,USA,144.13925
United States,1879,USA,175.7563
United States,1880,USA,199.00942
United States,1881,USA,210.53689
United States,1882,USA,235.77915
United States,1883,USA,254.29797
United States,1884,USA,268.02744
United States,1885,USA,272.6076
United States,1886,USA,287.93352
United States,1887,USA,307.88364
United States,1888,USA,374.4868
United States,1889,USA,336.09126
United States,1890,USA,402.40449
United States,1891,USA,428.12385
United States,1892,USA,451.18613
United States,1893,USA,454.83778
United States,1894,USA,425.74569
United States,1895,USA,480.7333
United States,1896,USA,481.66915
United States,1897,USA,501.10547
United States,1898,USA,546.21344
United States,1899,USA,626.55708
United States,1900,USA,663.82226
United States,1901,USA,722.70741
United States,1902,USA,765.7455
United States,1903,USA,895.86902
United States,1904,USA,881.66245
United States,1905,USA,986.11065
United States,1906,USA,1035.03175
United States,1907,USA,1203.77101
United States,1908,USA,1052.69546
United States,1909,USA,1165.25803
United States,1910,USA,1271.30635
United States,1911,USA,1258.443
United States,1912,USA,1343.40717
United States,1913,USA,1442.47148
United States,1914,USA,1317.85296
United States,1915,USA,1367.50439
United States,1916,USA,1518.74142
United States,1917,USA,1671.20056
United States,1918,USA,1748.44305
United States,1919,USA,1479.36966
United States,1920,USA,1738.73223
United States,1921,USA,1424.30131
United States,1922,USA,1435.67464
United States,1923,USA,1897.11108
United States,1924,USA,1698.36957
United States,1925,USA,1743.74912
United States,1926,USA,1891.6281
United States,1927,USA,1847.85968
United States,1928,USA,1830.7795
United States,1929,USA,1963.54909
United States,1930,USA,1745.06298
United States,1931,USA,1485.50957
United States,1932,USA,1258.45768
United States,1933,USA,1349.38927
United States,1934,USA,1436.73894
United States,1935,USA,1492.70277
United States,1936,USA,1713.49731
United States,1937,USA,1792.49406
United States,1938,USA,1515.89717
United States,1939,USA,1670.59501
United States,1940,USA,1874.55526
United States,1941,USA,2042.55318
United States,1942,USA,2197.48957
United States,1943,USA,2270.89691
United States,1944,USA,2444.37414
United States,1945,USA,2359.19711
United States,1946,USA,2256.72337
United States,1947,USA,2484.82488
United States,1948,USA,2581.27248
United States,1949,USA,2163.52739
United States,1950,USA,2540.09508
United States,1951,USA,2616.64761
United States,1952,USA,2549.24806
United States,1953,USA,2610.01225
United States,1954,USA,2487.11863
United States,1955,USA,2726.17876
United States,1956,USA,2857.57577
United States,1957,USA,2833.24367
United States,1958,USA,2745.41323
United States,1959,USA,2828.25614
United States,1960,USA,2893.061
United States,1961,USA,2882.86207
United States,1962,USA,2989.65173
United States,1963,USA,3121.78274
United States,1964,USA,3258.65906
United States,1965,USA,3393.69671
United States,1966,USA,3564.79211
United States,1967,USA,3698.73243
United States,1968,USA,3834.4894
United States,1969,USA,4028.04153
United States,1970,USA,4332.44601
United States,1971,USA,4360.33434
United States,1972,USA,4568.68758
United States,1973,USA,4774.09748
United States,1974,USA,4602.24973
United States,1975,USA,4409.93439
United States,1976,USA,4616.87468
United States,1977,USA,4746.17245
United States,1978,USA,4894.8625
United States,1979,USA,4905.80644
United States,1980,USA,4727.07377
United States,1981,USA,4539.51108
United States,1982,USA,4310.27187
United States,1983,USA,4345.43047
United States,1984,USA,4478.85332
United States,1985,USA,4496.23077
United States,1986,USA,4499.14108
United States,1987,USA,4692.20877
United States,1988,USA,4896.52868
United States,1989,USA,4959.13521
United States,1990,USA,4827.34918
United States,1991,USA,4824.79119
United States,1992,USA,4913.55014
United States,1993,USA,5032.78844
United States,1994,USA,5098.52181
United States,1995,USA,5137.1192
United States,1996,USA,5256.40888
United States,1997,USA,5373.10754
United States,1998,USA,5405.42923
United States,1999,USA,5509.17279
United States,2000,USA,5698.34294
United States,2001,USA,5600.37229
United States,2002,USA,5645.92433
United States,2003,USA,5680.34526
United States,2004,USA,5760.78432
United States,2005,USA,5794.46391
United States,2006,USA,5701.94688
United States,2007,USA,5793.76661
United States,2008,USA,5618.70394
United States,2009,USA,5267.81157
United States,2010,USA,5399.94625
United States,2011,USA,5294.00803
United States,2012,USA,5123.62461
United States,2013,USA,5163.38172
United States,2014,USA,5258.57785
